ko,en,ja,zh-TW,th,zh-CN,id,tl,ms,hi,vi,af,ak,sq,am,ar,hy,as,ay,az,bm,eu,be,bn,bho,bs,bg,ca,ceb,ny,co,hr,cs,da,dv,doi,nl,eo,et,ee,fi,fr,fy,gl,lg,ka,de,gom,el,gn,gu,ht,ha,haw,hmn,hu,is,ig,ilo,ga,it,kn,kk,km,rw,kri,ku,ckb,ky,lo,la,lv,ln,lt,lb,mk,mai,mg,ml,mt,mni-Mtei,mi,mr,lus,mn,my,ne,nso,no,or,om,ps,fa,pl,pt,pa,qu,ro,ru,sm,sa,gd,sr,st,sn,sd,si,sk,sl,so,es,su,sw,sv,tg,ta,tt,te,ti,ts,tr,tk,uk,ur,ug,uz,cy,xh,yi,yo,zu,he,jv
헤이즈,Haze,ヘイズ,霧霾龍,เฮซ,霾龙,Heize,Ulap,Jerebu,धुंध,Phong Yên Long,Waas,Mfutuma,Haze,ጭጋጋማ,ضباب,Մշուշ,কুঁৱলী,Sawka,Duman,Bugun,Lainoa,Дымка,কুয়াশা,धूंध,Haze,мъгла,Boirina,aso,Chifunga,Nebbia,izmaglica,Opar,Dis,ފޭދިފައި,धुंध,Nevel,Nebuleto,Hägusus,Afu,Haze,Haze,Haze,Bruma,Olufu,ნისლი,Dunst,धुकें,Ομίχλη,Tatatina,ઝાકળ,Brouyar,Haze,ʻohu,Haze,Köd,Haze,Ofufe,Angep,Clear,Foschia,ಹೇಸ್,Тұман,អ័ព្ទ,Haze,Nɔ klia,Mij,تەم,Туман,ໝອກ,Obducto,Migla,Londende,Migla,Haze,Магла,धुंध,zavona,മൂടൽമഞ്ഞ്,Haze,ꯋꯥꯈꯜ ꯆꯃꯝꯅꯕꯒꯤ ꯐꯤꯚꯝ,Kohu,धुके,Romei,Манан,မြူမှုန်,धुंध,Letobe,Tåke,କୁହୁଡି,Namatti joonja'uu,هز,مه,Mgła,Haze,ਧੁੰਦ,Waspi,Ceață,Хейз,puao,धुंध,ceò,Хазе,Haze,Haze,ڌوڙ,මීදුම,Haze,meglica,Ceeryaan,Haze,Halimun,Ukungu,Dis,Туман,மூடுபனி,Томан,పొగమంచు,ፈኲስ ግመ,Twali,Pus,Duman,Серпанок,کہرا,تۇمان,Tuman,Haze,Inkungu,האַזע,Owusuwusu,Inkungu,עֲרָפֶל,kabut
퍼플립스,Purple Lips,パープルリップス,紫晶龍,เพอเพิลลิปส์,紫晶龙,Purplellips,Mga Lilang Labi,Bibir Ungu,बैंगनी होंठ,Tử Tinh Long,Pers lippe,Anofafa a Ɛyɛ Kɔkɔɔ,Buzët e purpurta,ሐምራዊ ከንፈር,شفاه أرجوانية,Մանուշակագույն շրթունքներ,বেঙুনীয়া ৰঙৰ ওঁঠ,Purpura Lakanaka,Bənövşəyi Dodaqlar,Dawolo bulama,Ezpain moreak,Фіялетавыя вусны,বেগুনি ঠোঁট,बैंगनी होंठ के बा,Ljubičaste usne,Пурпурни устни,Llavis morats,Purple nga Lips,Milomo Yofiirira,Labbra Viola,Ljubičaste usne,Fialové rty,Lilla læber,ޕާޕަލް ލިޕްސް އެވެ,बैंगनी होंठ,Paarse Lippen,Purpuraj Lipoj,Lillad huuled,Nuyi Dzĩwo,Purppurat huulet,Drocoviolet,Purple Lips,Beizos Roxos,Emimwa egya kakobe,იასამნისფერი ტუჩები,Lila Lippen,जांबळे ओंठ,Μωβ χείλη,Labios Púrpuras,જાંબલી હોઠ,Koulè wouj violèt,Labba mai ruwan hoda,lehelehe poni,Ntshav Ntshav,Lila ajkak,Fjólubláar varir,Egbugbere ọnụ na-acha odo odo,Lila nga Bibig,Liopaí Corcra,Labbra viola,ಪರ್ಪಲ್ ಲಿಪ್ಸ್,Күлгін еріндер,បបូរមាត់ពណ៌ស្វាយ,Iminwa yijimye,Pepul Lip dɛn,Lêvên Purple,لێوی وەنەوشەیی,Purple Lips,ປາກສີມ່ວງ,Purpura Lips,Violetas lūpas,Mbɛbu ya Violet,Violetinės lūpos,Purple Lips,Виолетови усни,बैंगनी होंठ,Molotra volomparasy,പർപ്പിൾ ചുണ്ടുകൾ,Xufftejn Vjola,ꯃꯆꯨ ꯃꯆꯨꯒꯤ ꯂꯤꯄꯁ꯫,Ngutu Waiporoporo,जांभळे ओठ,Purple Lips a ni,Нил ягаан уруул,ခရမ်းရောင်နှုတ်ခမ်း,बैजनी ओठ,Melomo e Perese,Lilla lepper,ବାଇଗଣୀ ଓଠ |,Funyaan Diimaa,ارغواني شونډې,لب بنفش,Fioletowe usta,Purplips,ਜਾਮਨੀ ਬੁੱਲ੍ਹ,Purpura Simikuna,Buze violete,Фафлип,Laugutu Viole,बैंगनी अधर,Bilean purpaidh,Пурпле Липс,Melomo e Pherele,Purple Lips,جامني لب,දම් පැහැති තොල්,Fialové pery,Vijolične ustnice,Bishimaha Purple,Purpelips,Biwir Ungu,Midomo ya Zambarau,Lila läppar,Лабҳои арғувон,ஊதா நிற உதடுகள்,Гурпа иреннәр,పర్పుల్ లిప్స్,ሐምላይ ከንፈር,Milomu ya Xivunguvungu,Mor Dudaklar,Gyrmyzy dodaklar,Фіолетові губи,جامنی ہونٹ,بىنەپشە لەۋ,Binafsharang lablar,Gwefusau Porffor,Imilebe emfusa,לילאַ ליפּס,Ète eleyii,Amalebe Ansomi,שפתיים סגולות,Lambe wungu
페트라,Petra,ペトラ,佩特拉,เพตรา,佩特拉,Petra,Petra,Petra,पेट्रा,Nghiệp Hỏa Long,Petra,Petra na ɔkyerɛwee,Petra,ፔትራ,البتراء,Պետրա,পেট্ৰা,Petra satänwa,Petra,Petra ye,Petra,Пятра,পেট্রা,पेट्रा के ह,Petra,Петра,Petra,Petra,Petra,Petra,Petra,Petra,Petra,ޕެޓްރާ އެވެ,पेट्रा ने दी,Petra,Petra,Petra,Petra ƒe agbalẽ,Petra,Petra,Petra,Petra,Petra,პეტრა,Petra,पेट्रा हांणी केला,Πέτρα,Petra rehegua,પેટ્રા,Petra,Petra,ʻO Petra,Petra,Petra,Petra,Petra,Petra,Petra,Petra,ಪೆಟ್ರಾ,Петра,ប៉េត្រា,Petra,Petra we nem Petra,Petra,پێترا,Петра,ເປຕຣາ,Petrae,Petra,Petra,Petra,Petra,Петра,पेट्रा,Petra,പെട്ര,Petra,ꯄꯦꯠꯔꯥꯗꯥ ꯂꯩꯕꯥ꯫,Petra,पेट्रा,Petra chuan a rawn ti a,Петра,Petra,पेट्रा,"Petra, Petra",Petra,ପେଟ୍ରା |,Peetraa,پیټرا,پترا,Petra,Petra,ਪੇਟਰਾ,Petra sutiyuq runa,Petra,Петра,Petra,पेत्रा,Petra,Петра,Petra,Petra,پيٽرا,පෙට්රා,Petra,Petra,Petra,Petra,Petra,Petra,Petra,Петра,பெட்ரா,Петра,పెట్రా,ፔትራ,Petra,Petra,Petra,Петра,پیٹرا,Petra,Petra,Petra,Petra,פּעטראַ,Petra,Petra,פטרה,Petra
제피로스,Zephyros,ゼフィロス,澤費羅斯,เซฟิรัส,泽费罗斯,Zephyroth,Zephyros,Zephyros,ज़ेफिरोस,Tây Phong Long﻿,Zephyros,Zephyros na ɔkyerɛwee,Zephyros,ዘፊሮስ,زيفيروس,Զեֆիրոս,জেফাইৰ’ছ,Zephyros ukax mä juk’a pachanakanwa,Zephyros,Zefirosi,Zephyros,Зефірас,জেফিরোস,जेफाइरोस के नाम से जानल जाला,Zephyros,Зефирос,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,ޒެފިރޯސް އެވެ,ज़ेफाइरोस ने दी,Zephyros,Zefiros,Zephyros,Zephyros ƒe ŋkɔ,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,ზეფიროსი,Zephyros,झेफायरोस हें नांव,Ζέφυρος,Zephyros rehegua,ઝેફિરોસ,Zephyros,Zafiros,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Dagiti Zephyros,Zephyros,Zefiro,ಜೆಫಿರೋಸ್,Зефирос,សេហ្វរ៉ូស,Zephyros,Zɛfayrɔs,Zephyros,زێفیرۆس,Zephyros,Zephyros,Zephyros,Zephyros,"Zéphyros, oyo ezali na nkombo",Zephyros,Zephyros,Зефирос,जेफाइरोस,Zephyros,സെഫിറോസ്,Zephyros,ꯖꯦꯐꯥꯏꯔꯣꯁ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫,Zephyros,झेफिरॉस,Zephyros a ni,Зефирос,Zephyros,Zephyros,Zephyros ya go swana le yona,Zephyros,ସେଫିରୋସ୍ |,Zephyros jedhamuun beekama,زیفیروس,زفیروس,Zefir,Zephyros,ਜ਼ੈਫਿਰੋਸ,Zephyros nisqa,Zephyros,Джефрос,Zephyros,ज़ेफिरोस,Zephyros,Зепхирос,Zephyros,Zephyros,زيفيروس,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Zephyros,Зефирос,செபிரோஸ்,Зефирос,జెఫిరోస్,ዜፊሮስ ዝበሃሉ ምዃኖም ይፍለጥ,Zephyros,Zephyros,Zephyros,Зефірос,زیفیروس,Zephyros,Zephyros,Zephyros,Zephyros,זעפיראָס,Zephyros,I-Zephyros,זפירוס,Zephyros
렉몰,Rekmall,レックモール,雷格默爾,เร็กซ์มอลล์,莱戈穆尔,Rexmol,Rekmall,Rekmall,रेकमॉल,Thần Lực Long,Rekmall,Rekmall na ɔkyerɛwee,Rekmall,ሬክማል,Rekmall,Rekmall,ৰেকমল,Rekmall ukat juk’ampinaka,Rekmall,Rekmall ye,Rekmall,Рэкмал,রেকমল,रेकमल के बा,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,ރެކްމަލް އެވެ,रेकमल्ल,Rekmall,Rekmall,Rekmall,Rekmall ƒe nyawo,Rekmall,Rekmol,Rekmall,Rekmall,Rekmall,რეკმალი,Rekmall,रेकमॉल हांणी केला,Rekmall,Rekmall rehegua,રેકમલ,Rekmall,Rekall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall ni Rekmall,Rekmall,Rekmall,ರೆಕ್ಮಾಲ್,Rekmall,Rekmall,Rekmall,Rekmall we de na di wɔl,Rekmall,ڕێکماڵ,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall na likambo yango,Rekmall,Rekmall,Рекмал,रेकमल,Rekmall,റെക്മാൾ,Rekmall,ꯔꯦꯀꯃꯥꯜ꯫,Rekmall,रेकमॉल,Rekmall a ni,Рекмалл,Rekmall,रेक्मल,Rekmall ke yena,Rekmall,ରେକମଲ୍ |,Rekmall jedhamuun beekama,ریکمل,Rekmall,Rekmall,Rekmall,ਰੇਕਮਾਲ,Rekmall nisqa,Rekmall,Лекмоль,Rekmall,रेकमल्ल,Rekmall,Рекмалл,Rekmall,Rekmall,ريڪمال,රෙක්මාල්,Rekmall,Rekmall,Rekall,Rekmall,Rekmall,Rekmall,Rekmall,Rekmall,ரெக்மால்,Рекмалл,రెక్మాల్,ረክማል,Rekmall na yena,Rekmall,Rekmall,Rekmall,ریکمال,Rekmall,Rekmall,Rekmall,Rekmall,רעקמאל,Rekall,I-Rekmall,רקמול,Rekmall
아브밸리,Abvalle,アブバレ,阿拂瓦利,อาว์วัลเลย์,阿布瓦利,Avalley,Abvalle,Abvalle,अब्वाले,Kim Bàng Long,Abvalle,Abvalle na ɔkyerɛwee,Abvalle,አብቫል,أبفال,Աբվալե,আবভালে,Abvalle ukax mä jach’a uñacht’äwiwa,Abvalle,Abvalle ye,Abvalle,Абвале,আবভালে,अबवले के ह,Abvalle,Абвале,Abvalle,Abvalle,Avalle,Abvalle,Abvalle,Abvalle,Abvalle,އަބްވައްލެ އެވެ,अबवल्ले,Abvalle,Abvalle,Abvalle,Abvalle ƒe ŋkɔ,Abvalle,Ab Valley,Abvalle,Abvalle,Abvalle,აბვალლე,Abvalle,अबवल्ले,Abvalle,Abvalle rehegua,અબવલે,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle nga,Abvalle,Abvalle,ಅಬ್ವಲ್ಲೆ,Абвалле,អាវ៉ាល,Abvalle,Abvalle we de na di wɔl,Abvalle,ئەبڤالێ,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle na engumba,Abvalle,Abvalle,Абвале,अबवल्ले,Abvalle,അബ്വല്ലെ,Abvalle,ꯑꯕꯚꯥꯜꯂꯦꯗꯥ ꯂꯩꯕꯥ꯫,Abvalle,अबवळे,Abvalle chuan a ti a,Абвалле,Abvalle,अब्भल्ले,Abvalle ya go swana,Abvalle,ଅବଭାଲ୍ |,Abvalle jechuun ni danda'ama,ابوال,آبواله,Abvalle,Abvalle,ਅਬਵਾਲ,Abvalle sutiyuq runa,Abvalle,Абивель,Abvalle,अबवल्ले,Abvalle,Абвалле,Avalle,Abvalle,ابوالل,අබ්වල්ලේ,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle,Abvalle,Абвалле,அப்வல்லே,Абвалле,అబ్వాల్లే,ኣብቫለ,Abvalle,Abvalle,Abvalle,Абвалле,ابوالے,Abvalle,Abvalle,Abvalle,Avalle,Abvalle,Abvalle,Avalle,אבוואלה,Abvalle
마그넬로,Magnello,マグネロ,火涅洛,แม็กเนลโล,珊瑚龙,Magnelo,Magnello,Magnello,मैग्नेलो,Tiêu Thạch Long,Magnello,Magnello na ɔkyerɛwee,Magnello,ማግኔሎ,ماجنيلو,Մագնելլո,মেগনেলো,Magnello sat jilata,Magnello,Magnello (Magnello) ye,Magnello,Магнела,ম্যাগনেলো,मैग्नेलो के नाम से जानल जाला,Magnello,Магнело,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello,މެގްނެލޯ އެވެ,मैग्नेलो,magnello,Magnello,Magnello,Magnello ƒe ŋkɔ,Magnello,Maguenello,Magnello,Magnello,Magnello,მაგნელო,Magnello,मॅग्नेलो हांणी केला,Magnello,Magnello rehegua,મેગ્નેલો,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello ni Magnello,Magnello,Magnello,ಮ್ಯಾಗ್ನೆಲ್ಲೋ,Магнело,Magnello,Magnello,Magnɛlɔ we gɛt fɔ du wit am,Magnello,ماگنێلۆ,Magnello,Magnello,Magnello,Magnello,"Magnello, oyo azali",Magnello,Magnello,Магнело,मैग्नेलो,Magnello,മാഗ്നെല്ലോ,Magnello,ꯃꯦꯒ꯭ꯅꯦꯂꯣ꯫,Magnello,मॅग्नेलो,Magnello chuan a rawn ti a,Магнело,Magnello,म्याग्नेलो,Magnello o ile a re,Magnello,ମ୍ୟାଗ୍ନେଲୋ |,Maagneeloo,میګنیلو,مگنلو,Magnello,Magnello,ਮੈਗਨੇਲੋ,Magnello sutiyuq runa,Magnello,Магнелло,Magnello,मैग्नेलो,Magnello,Магнелло,Magnello,Magnello,مگنيلو,මැග්නෙලෝ,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello,Magnello,Магнело,மேக்னெல்லோ,Магнелло,మాగ్నెల్లో,ማግነሎ,Magnello,Magnello,Magnello,Магнелло,میگنیلو,Magnello,Magnello,Magnello,Magnello,מאַגנעללאָ,Magnello,Magnello,מגנלו,Magnello
플루모스,Plumos,プルモス,梅龍,พลูโมส,红梅龙,Plumose,Plumos,Plumos,प्लमोस,Mai Hoa Long,Plumos,Plumos a wɔfrɛ no Plumos,Plumos,ፕሉሞስ,بلوموس,Պլյումոս,প্লামোছ,Plumos ukax mä juk’a pachanakanwa,Plumos,Plumos (Plumos) ye,Plumoak,Плюмас,প্লামুস,प्लूमोस के नाम से जानल जाला,Plumos,Plumos,Plums,Plumos,Plumos,Plumosu,Plumos,Plumos,Plumos,ޕްލޫމޯސް އެވެ,प्लूमोस ने दी,Plumos,Plumos,Plumos,Plumos ƒe ŋkɔ,Plumos,Prunemos,Plumos,Plumos,Plumos,პლუმოსი,Plumos,प्लुमोस हें नांव,Plumos,Plumos rehegua,પ્લુમોસ,Plumos,Plumos,Plumos,Plumos,Plumos,Plumos,Plumos,Plumos nga,Plumos,Plumos,ಪ್ಲುಮೊಸ್,Plumos,ផ្លែព្រូន,Plumos,Plumos we dɛn kɔl Plumos,Plumos,پلومۆس,Plumos,Plumos,Plumos,Plumos,"Plumos, oyo babengi Plumos",Plumos,Plumos,Плумос,प्लुमोस,Plumos,പ്ലൂമോസ്,Plumos,ꯄ꯭ꯂꯨꯃꯣꯁ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫,Plumo,प्लुमोस,Plumos a ni,Plumos,Plumos,Plumos,Plumos ya go swana le yona,Plumos,ପ୍ଲୁମୋସ୍ |,Plumos jedhamuun beekama,پلوموس,پلوموس,Śliwki,Plumos,ਪਲੂਮੋਸ,Plumos sutiyuq,Plumos,Флумос,Plumos,प्लुमोस्,Plumaichean,Плумос,Plumos,Plumos,پلمو,ප්ලූමෝස්,Plumos,Plumos,Plumos,Plumos,Plumos,Plumos,Plumos,Plumos,ப்ளூமோஸ்,Плумос,ప్లూమోస్,ፕሉሞስ ዝበሃል ትካል,Plumos,Erikler,Erik,Сливи,Plumos,Plumos,Plumos,Plumos,IiPlumos,פלומאָס,Plumos,I-Plumos,פלומוס,Plumo
스트라,Stra,ストラ,絲特拉,ซีตร้า,斯特拉,Cetra,Stra,Stra,रणनीति,Du Ly Long,Stra,Stra,Stra,ስትራ,سترا,Ստրա,Stra,Stra,Stra,Stra,Stra,Stra,স্ট্রা,स्ट्रै के बा,Stra,Stra,Stra,Ang Stra,Stra,Stra,Stra,Stra,Stra,ސްޓްރާ,स्ट्रै,Stra,Stra,Stra,Stra,Stra,Strah,Stra,Stra,Stra,სტრა,Stra,स्ट्रॅ,Stra,Stra,સ્ટ્રા,Stra,Stra,ʻO Stra,Stra,Stra,Stra,Stra,Stra,Stra,Stra,ಸ್ಟ್ರಾ,Stra,ស្ត្រេ,Stra,Stra,Stra,سترا,Stra,Stra,Stra,Stra,Stra,Stra,Stra,Стра,स्ट्रै,Stra,സ്ട്രാ,Stra,ꯁ꯭ꯠꯔꯦ,Stra,Stra,Stra,Стра,Stra,स्ट्रा,Stra,Stra,ଷ୍ଟ୍ର,Stra,سټرا,Stra,Stra,Stra,Stra,Stra,Stra,Ситра,Stra,Stra,Sròn,Стра,Stra,Stra,اسٽرا,ස්ට්‍රා,Stra,Stra,Stra,Stra,Stra,Stra,Stra,Stra,ஸ்ட்ரா,Ст,స్ట్రా,ስትራ,Stra,Stra,Stra,Stra,Stra,Stra,Stra,Stra,Strange,סטראַ,Stra,Stra,Stra,Stra
쉴로시,Slosi,スロシ,鎖洛斯,ซีโลส,索利斯,Slosi,Slosi,Slosi,स्लोसी,Phong Ấn Long,Slosi,Slosi na ɔkyerɛwee,Slosi,ስሎሲ,سلوسي,Սլոսի,স্লোচি,Slosi ukax mä juk’a pachanakanwa,Slosi,Slosi ye,Slosi,Слосі,স্লোসি,स्लोसी के बा,Slosi,Слоси,Slosi,Slosi,Slosi,Slosi,Slosi,Slosi,Slosi,ސްލޯސީ އެވެ,स्लोसी,Slosi,Slosi,Slosi,Slosi ƒe ŋkɔ,Slosi,Slosi,Slosi,Slosi,Slosi,სლოსი,Slosi,स्लोसी हांणी केला,Σλόσι,Slosi rehegua,સ્લોસી,Slosi,Slosi,Slosi,Slosi,Slosi,Slósi,Slosi,Slosi nga,Slosi,Slosi,ಸ್ಲೋಸಿ,Слоси,ស្លូស៊ី,Slosi,Slosi we dɛn kɔl Slosi,Slosi,سلۆسی,Slosi,ສະໂລຊີ,Slosi,Slosi,Slosi na likambo yango,Slosi,Slosi,Слоси,स्लोसी,Slosi,സ്ലോസി,Slosi,ꯁ꯭ꯂꯣꯁꯤ꯫,Slosi,स्लोसी,Slosi chuan,Слоси,Slosi,स्लोसी,Slosi ya Slosi,Slosi,ସ୍ଲୋସି,Slosi jedhamuun beekama,سلوسي,اسلوسی,Słosi,Slosi,ਸਲੋਸੀ,Slosi,Slosi,Шлош,Slosi,स्लोसि,Slosi,Слоси,Slosi,Slosi,سلوسي,ස්ලෝසි,Slosi,Slosi,Slosi,Slosi,Slosi,Slosi,Slosi,Слоси,ஸ்லோசி,Слоси,స్లోసి,ስሎሲ,Slosi,Slosi,Slosi,Слосі,سلوسی,Slosi,Slosi,Slosi,Slosi,סלאָסי,Slosi,Slosi,סלוסי,Slosi
말덱,Maldek,マルデック,馬爾戴克,มัลเดค,玛尔黛,Maldex,Maldek,Maldek,Maldek,Sinh Khí Long,Maldek,Maldek na ɔkyerɛwee,Maldek,ማልዴክ,مالديك,Մալդեկ,মালডেক,Maldek ukat juk’ampinaka,Maldek,Maldek ye,Maldek,Мальдэк,মালদেক,मालडेक के बा,Maldek,Малдек,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,މަލްޑެކް އެވެ,मालडेक,Maldek,Maldek,Maldek,Maldek ƒe ŋkɔ,Maldek,Maldek,Maldek,Maldek,Maldek,მალდეკი,Maldek,मालडेक हांणी केला,Μάλντεκ,Maldek rehegua,માલદેક,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,ಮಾಲ್ಡೆಕ್,Малдек,ម៉ាល់ដេក,Maldek,Maldek we de na di wɔl,Maldek,ماڵدەک,Малдек,Maldek,Maldek,Maldeka,"Maldek, oyo azali",Maldekas,Maldek,Малдек,मालडेक,Maldek,മാൽഡെക്ക്,Maldek,ꯃꯥꯂꯗꯦꯛ꯫,Maldek,मालदेक,Maldek a ni,Малдек,Maldek,मालदेक,Maldek e ile ya re,Maldek,ମାଲଡେକ |,Maldek jedhamuun beekama,مالدک,مالدک,Maldek,Maldek,ਮਾਲਡੇਕ,Maldek sutiyuq,Maldek,Мальдек,Maldek,मालदेक्,Maldek,Малдек,Maldek,Maldek,مالڊڪ,මල්ඩෙක්,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Maldek,Малдек,மால்டெக்,Мальдек,మాల్డెక్,ማልደክ,Maldek,Maldek,Maldek,Малдек,مالدیک,Maldek,Maldek,Maldek,Maldek,מאלדק,Maldek,Maldek,מלדק,Maldek
비어디 드래곤,Bearded Dragon,ビアードドラゴン,鬃獅蜥龍,เบียร์ดดราก้อน,比尔迪龙,Naga Bearded,May balbas na Dragon,Naga Berjanggut,दाढ़ी वाला अजगर,Râu Vương Long,Bebaarde Draak,Ɔtweaseɛ a Ɔwɔ Abogyesɛ,Dragoi me mjekër,ጢም ያለው ዘንዶ,التنين الملتحي,Մորուքավոր Վիշապ,দাড়ি থকা ড্ৰেগন,Barba Dragón ukax mä jach’a uñacht’äwiwa ukat juk’ampinaka,Saqqallı Əjdaha,Dragon (Dragon) ye min bɛ ni kunsigi ye,herensuge Bizarduna,Барадаты Цмок,দাড়িওয়ালা ড্রাগন,दाढ़ी वाला ड्रैगन के नाम से जानल जाला,zmaj zmaj,Брадат Дракон,Drac,Bearded dragon,Chinjoka cha ndevu,Dragon Barbutu,Bradati Zmaj,Vousatý Drak,Bearded Trække på,ތުނބުޅި ދިގު ޑްރެގަން އެވެ,दाढ़ी वाला अजगर,Draak,Barba Drako,Habe Draakon,Ʋɔ driba si ƒe ɖa le abe ɖa ene,Parrakas Lohikäärme,Dragon Pogona,Bearded draak,Dragón Barbudo,Ekisota eky’ekirevu,წვერიანი დრაკონი,Drachen,दाढी आशिल्लो ड्रॅगन हें नांव,Γενειοφόρος Δράκων,Dragón Barbado rehegua,દાઢીવાળો ડ્રેગન,Dragon bab,Dragon mai gemu,Deragona ʻumiʻumi,Bearded Zaj,Szakállas Sárkány,Skeggjaður Dreki,Dragọn afụ ọnụ,Barbasan a Dragon,Dragon féasóg,Drago,ಗಡ್ಡದ ಡ್ರ್ಯಾಗನ್,Айдаһар,នាគ ពុកមាត់,Ikiyoka,Dragon we gɛt biad,Bearded Zîha,ئەژدیها سمێڵدار,Сакалдуу Dragon,ມັງກອນ ຈັບຫນວດ,Barbatus draco,Bārdains Pūķis,Dragon ya mandefu,Barzdotasis drakonas,Baart Dragon,Брадестиот Змеј,दाढ़ी वाला अजगर,Dragona volombava,താടിയുള്ള ഡ്രാഗൺ,Dragun Bearded,ꯗꯥꯗꯤ ꯂꯩꯕꯥ ꯗ꯭ꯔꯒꯟ꯫,tarakona Pahau,दाढी असलेला ड्रॅगन,Dragon a ni hmul nei,Луу луу,မုတ်ဆိတ်မွေး နဂါး,दाह्री भएको ड्र्यागन,Drakone ya ditedu,Drage,ଦା ed ି ଡ୍ରାଗନ୍ |,Draagoon qabu,ږیره لرونکی ډریگن,اژدهای اژدها,Brodaty smok,Dragão de Barba,ਦਾੜ੍ਹੀ ਵਾਲਾ ਡਰੈਗਨ,Barbayuq Dragon,balaur Barbos,Бородатый дракон,Tarako tarako,दाढ्ययुक्तः अजगर,Dragon feusagach,Брадати Драгон,Drakone la litelu,Bearded Dragon,ڏاڙهي وارو ڊريگن,රැවුල සහිත මකරා,Bradatý drak,Bradati Zmaj,Masduulaagii masduulaagii,Barbudrago,Naga,joka lenye ndevu,Skäggig drake,Аждаҳо,தாடி வைத்த டிராகன்,Сакаллы Аждаһа,బార్డెడ్ డ్రాగన్,ጭሕሚ ዘለዎ ገበል,Dragona ya malebvu,Sakallı Ejderha,Sakgally Aagondarha,Бородатий Дракон,داڑھی والا ڈریگن,ساقاللىق ئەجدىھا,Soqolli Ajdaho,Draig Draig,Idragoni eneendevu,בירדעד דראַגאָן,Dragoni Bearded,I-Dearded Dragon,דרקון מזוקן,Naga Naga
해태,Haetae,ヘテ,獬豸,แฮแท,獬豸,Haetae,Haetae,Haetae,Haetae,Giải Trãi,Haetae,Haetae na ɛwɔ hɔ,Haetae,ሄታ,هايتاي,Հաետաե,হায়েটাই,Haetae ukat juk’ampinaka,Haetae,Haetae (Haetae) ye,Haetae,Haetae,Haetae,हाएताए के बा,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,ހައިޓޭ އެވެ,हाएताए,Haetae,Haetae,Haetae,Haetae ƒe ŋkɔ,Haetae,Haetae,Haetae,Haetae,Ebiwuka ebiyitibwa Haetae,ჰაეტაე,Haetae,हाएताए,Haetae,Haetae rehegua,હેતા,Haetae,Hattae,Haetae,Haetae,Haetae,Haetae,Hetae,Haetae nga,Haetae,Haetae,ಹೇಟೇ,Haetae,ហេតា,Haetae,Haetae we dɛn kɔl Haetae,Haetae,هایتاێ,Haetae,ເຮຕາ,Haetae,Haetae,Haetae oyo ezali na kati,Haetae,Haetae,Хаетае,हाएताए,Haetae,ഹേറ്റേ,Haetae,ꯍꯥꯌꯇꯥꯏ ꯍꯥꯌꯅꯥ ꯀꯧꯏ꯫,Haetae,Haetae,Haetae a ni,Haetae,Haetae,Haetae,Haetae,Haetae,ହେଟା,Haetae jedhamuun beekama,هایتا,Haetae,Haetae,Haetae,ਹੇਤੇ,Haetae,Haetae,Хэтэ,Haetae,हाएताए,Haetae,Хаетае,Haetae,Haetae,هٽائي,Haetae,Haetae,Haetae,Haatae,Haetae,Haetae,Haetae,Haetae,Хает,ஹேட்டே,Гаета,హేటే,ሃየታኤ,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae,Haetae
